"ranking","problema","descricao","desenvolvimento","arquivo_fonte","nota_dor_financeira","ponderada_dor_financeira","nota_gambiarras","ponderada_gambiarras","nota_frequencia","ponderada_frequencia","nota_urgencia","ponderada_urgencia","nota_dor_tempo","ponderada_dor_tempo","nota_risco","ponderada_risco","nota_frustracao","ponderada_frustracao","nota_consequencia_erro","ponderada_consequencia_erro","nota_observabilidade","ponderada_observabilidade","nota_clareza_persona","ponderada_clareza_persona","nota_tam","ponderada_tam","nota_crescimento","ponderada_crescimento","nota_monopolio_local","ponderada_monopolio_local","nota_amplitude","ponderada_amplitude","nota_escala_nao_linear","ponderada_escala_nao_linear","nota_ticket","ponderada_ticket","nota_expansao","ponderada_expansao","nota_penetracao_digital","ponderada_penetracao_digital","nota_internacionalizacao","ponderada_internacionalizacao","nota_dep_infraestrutura","ponderada_dep_infraestrutura","nota_timing_tech","ponderada_timing_tech","nota_timing_regulatorio","ponderada_timing_regulatorio","nota_mudanca_comportamental","ponderada_mudanca_comportamental","nota_pressao_macro","ponderada_pressao_macro","nota_janela","ponderada_janela","nota_acesso_usuarios","ponderada_acesso_usuarios","nota_velocidade_validacao","ponderada_velocidade_validacao","nota_facilidade_mvp","ponderada_facilidade_mvp","nota_mudanca_habito","ponderada_mudanca_habito","nota_dados_disponiveis","ponderada_dados_disponiveis","nota_aha_moment","ponderada_aha_moment","nota_multiplos_lados","ponderada_multiplos_lados","nota_feedback","ponderada_feedback","nota_wtp","ponderada_wtp","nota_clareza_pagador","ponderada_clareza_pagador","nota_orcamento","ponderada_orcamento","nota_ciclo_vendas","ponderada_ciclo_vendas","nota_recorrencia","ponderada_recorrencia","nota_poder_preco","ponderada_poder_preco","nota_cac","ponderada_cac","nota_ausencia_monopolios","ponderada_ausencia_monopolios","nota_efeito_rede","ponderada_efeito_rede","nota_switching_cost","ponderada_switching_cost","nota_dados_proprietarios","ponderada_dados_proprietarios","nota_diferenciacao_10x","ponderada_diferenciacao_10x","nota_fragmentacao","ponderada_fragmentacao","nota_tarpit","ponderada_tarpit","nota_risco_legal","ponderada_risco_legal","nota_platform_risk","ponderada_platform_risk","nota_alinhamento_ods","ponderada_alinhamento_ods","subtotal_1_dor_comportamento","pct_1_dor_comportamento","subtotal_2_mercado_escala","pct_2_mercado_escala","subtotal_3_timing","pct_3_timing","subtotal_4_validacao_lean","pct_4_validacao_lean","subtotal_5_monetizacao","pct_5_monetizacao","subtotal_6_defensibilidade","pct_6_defensibilidade","subtotal_7_riscos_fatais","pct_7_riscos_fatais","total_geral","max_total","pct_total"
"1","A Exclusão Silenciosa Das Minorias Nos Testes Algorítmicos Dos Painéis Faciais Globais E Os Modelos Estritos Que Ditam Erros Perigosos na Saúde Das Câmeras Diagnósticas Da Rede Da Biometria Médica (Oximetria em Pele).","IAs no monitoramento de UTIs digitais medem e julgam os hematomas e pressão sanguínea pelo vídeo nos telefones dos idosos com pele parda e preta como distorções graves ou falham em captar sinais de falta de oxigenação mortais antes da intervenção, pois as bibliotecas originais dos treinos são massivamente caucásicas do Vale Central de Dados originais.","Isso provoca negligência sistêmica, mortes precoces em laudos falsamente favoráveis. Oportunidade: Clínicas digitais ""Afro/Minority-Native"" desenvolvendo IAs focadas estritamente em treinos e bancos de dados diversificados validados organicamente pelo mercado sul-americano ou africano para exportação reversa com licenciamentos das APIs de precisão médica (Sovereign Skin Health Models B2B globais).","100_novos_problemas_fase_3.csv","6","30","5","25","5","25","6","24","6","24","8","32","6","24","6","24","8","24","7","21","10","50","8","40","6","24","5","15","9","36","6","18","6","18","6","18","6","12","6","12","10","50","6","30","6","24","6","24","8","32","7","35","6","30","4","16","6","24","6","18","5","15","5","15","6","18","7","35","6","30","6","24","5","15","6","18","7","21","5","15","7","28","6","24","6","24","5","15","7","21","6","12","5","25","3","12","6","24","8","24","253","61.7","243","71.5","160","72.7","171","57.0","158","60.8","124","62.0","85","53.1","1194","1890","63.2"
"2","Riscos Iminentes Da Obscuridade Dos Contratos Médicos B2C e Procedimentos Sem Repasses Reais Burocráticos Extensos","As clínicas fecham os pactos de serviços dentais com o idoso sob a promessa flexível oral, mas os contratos extensos cheios de exceções negam na prática a re-aplicação protética ou fisioterapia do trauma sem repasses contínuos não previstos pelo aposentado.","Essa armadilha dilacera as finanças restritas do silver-economy gerando judicializações brutais nos processos não resolvidos ou reembolsados da rede bancária que acionam estornos ineficientes das franquias de cartão. Oportunidade: Fintechs e Protections-Tech baseadas nos Smart-contracts depositando e validando na blockchain atestados de SLA biométrico; o seguro saúde libera os 50% restantes só com ""Prova de Cicatrizamento Autenticada"".","100_novos_problemas_fase_3.csv","6","30","6","30","6","30","5","20","5","20","8","32","6","24","5","20","7","21","10","30","10","50","9","45","6","24","5","15","8","32","6","18","6","18","5","15","5","10","6","12","8","40","5","25","9","36","6","24","7","28","6","30","5","25","3","12","6","24","6","18","5","15","5","15","6","18","8","40","6","30","6","24","5","15","9","27","7","21","5","15","7","28","6","24","5","20","5","15","8","24","6","12","6","30","1","4","6","24","10","30","257","62.7","239","70.3","153","69.5","157","52.3","172","66.2","123","61.5","88","55.0","1189","1890","62.9"
"3","Risco crescente de blecautes em redes elétricas antigas","Redes de distribuição e transmissão projetadas para outro clima e outra carga sofrem mais falhas sob calor extremo e tempestades.","O aumento da temperatura média, maior frequência de eventos extremos e a eletrificação de transportes e processos industriais pressionam ativos envelhecidos; sem investimentos massivos em reforços, automação e redundância, cresce a probabilidade de apagões de grande escala com impactos econômicos e sociais severos.","100-200 oportunidades_problemas.csv","6","30","5","25","5","25","6","24","5","20","8","32","5","20","5","20","7","21","7","21","9","45","10","50","6","24","6","18","8","32","6","18","6","18","5","15","5","10","2","4","9","45","7","35","6","24","9","36","7","28","7","35","5","25","4","16","6","24","5","15","5","15","5","15","6","18","5","25","6","30","6","24","5","15","6","18","5","15","6","18","7","28","6","24","5","20","5","15","6","18","6","12","5","25","6","24","7","28","10","30","238","58.0","234","68.8","168","76.4","163","54.3","145","55.8","117","58.5","107","66.9","1172","1890","62.0"
"4","Custo Social Insustentável da Descarbonização","O repasse dos custos de atualização da rede elétrica e mitigação climática gera pobreza energética e reações políticas.","Investimentos massivos em resiliência encontram um consumidor de classe média com ""price fatigue"". O repasse tarifário vira gatilho para rejeição à transição verde. Oportunidade: modelos de financiamento distribuído, tokenização de ativos de energia e plataformas de eficiência energética focadas em baixa renda.","100_novos_problemas_sociedade_aprofundados.csv","7","35","5","25","5","25","6","24","5","20","7","28","6","24","5","20","6","18","6","18","9","45","10","50","6","24","6","18","8","32","6","18","6","18","5","15","4","8","4","8","9","45","7","35","6","24","10","40","8","32","6","30","5","25","5","20","6","24","5","15","5","15","5","15","6","18","4","20","6","30","6","24","5","15","6","18","5","15","5","15","7","28","6","24","5","20","5","15","7","21","6","12","5","25","5","20","7","28","10","30","237","57.8","236","69.4","176","80.0","162","54.0","137","52.7","120","60.0","103","64.4","1171","1890","62.0"
"5","A Ruptura do Modelo 'Motoboy' Diante da Economia Prateada e Acessibilidade","Idosos isolados pedem comida por app, mas não conseguem descer as escadas ou atender rapidamente a porta; o algoritmo penaliza o entregador pela demora, quebrando a logística e deixando o cliente prateado humilhado e sem a refeição.","O modelo Just-in-Time urbano não tem paciência com a artrose. Oportunidade: Taxas de 'Silver-Delivery Premium', onde o tempo flexível é subsidiado, e criação de hubs de entrega em caixas térmicas acessíveis nos andares térreos desenhados para abertura sem esforço (IoT passivo).","100_novos_problemas_fase_5.csv","6","30","5","25","5","25","5","20","6","24","5","20","6","24","5","20","7","21","10","30","7","35","10","50","6","24","5","15","10","40","6","18","5","15","5","15","5","10","5","10","10","50","6","30","9","36","6","24","8","32","5","25","5","25","7","28","6","24","6","18","5","15","6","18","6","18","6","30","6","30","6","24","5","15","6","18","5","15","5","15","7","28","4","16","5","20","5","15","8","24","6","12","5","25","6","24","6","24","7","21","239","58.3","232","68.2","172","78.2","171","57.0","147","56.5","115","57.5","94","58.8","1170","1890","61.9"
"6","Redundância Desgastante Nas Cargas Fiscais De Emissões Diretas De Gases Fósseis","O Governo lança novos relatórios contábeis para medir carbono das frotas de entrega locais, mas os sistemas e portais não conversam entre matriz e PMEs, sobrecarregando a padaria em planilhas sem impacto no oxigênio da Terra.","Compliance de carbono sufocou os negócios base; ninguém plantou 1 árvore a mais, e gasta-se fortuna na documentação burocrática. Oportunidade: APis centralizadas e Regtechs (Automated ESG-Reporting B2B) invisíveis capturando dados diretos de motores sem intervenção dos fiscais empresários.","100_novos_problemas_fase_3.csv","5","25","6","30","5","25","6","24","7","28","7","28","6","24","5","20","8","24","8","24","7","35","6","30","6","24","5","15","6","24","7","21","6","18","6","18","5","10","6","12","6","30","10","50","6","24","8","32","7","28","6","30","5","25","6","24","6","24","6","18","5","15","6","18","6","18","6","30","6","30","6","24","3","9","6","18","6","18","5","15","7","28","5","20","5","20","5","15","9","27","6","12","7","35","5","20","6","24","9","27","252","61.5","207","60.9","164","74.5","172","57.3","144","55.4","122","61.0","106","66.2","1167","1890","61.7"
"7","Gargalos Burocráticos para a Empresa de Uma Pessoa Só","O surgimento dos ""Vibe Coders"" e agentes de IA permite criar startups solo de alta receita, mas a burocracia tributária e jurídica esmaga o processo.","O Estado ainda entende empresas como grandes organogramas físicos, sobretaxando e complicando quem tenta empreender como um ecossistema digital individual. Oportunidade: LegalTechs B2B de infraestrutura agêntica que automatizam 100% da contabilidade, compliance e pagamentos cross-border para solopreneurs.","100_novos_problemas_sociedade_aprofundados.csv","6","30","6","30","5","25","5","20","8","32","6","24","5","20","5","20","8","24","8","24","6","30","8","40","6","24","5","15","7","28","7","21","6","18","6","18","6","12","4","8","9","45","8","40","6","24","6","24","8","32","7","35","6","30","5","20","6","24","5","15","5","15","6","18","6","18","6","30","6","30","6","24","3","9","6","18","6","18","5","15","7","28","4","16","5","20","5","15","9","27","6","12","7","35","5","20","8","32","5","15","249","60.7","214","62.9","165","75.0","175","58.3","144","55.4","118","59.0","102","63.7","1167","1890","61.7"
"8","Subutilização da Força de Trabalho Prateada","Empresas perdem memória institucional ao forçar a aposentadoria precoce, enquanto enfrentam apagão de talentos técnicos.","Há preconceito enraizado (etarismo). O mercado descarta indivíduos 60+ altamente capacitados que desejam continuar trabalhando em arranjos flexíveis. Oportunidade: plataformas de talento fracionado exclusivamente sênior para alocação em projetos consultivos e tutoria corporativa da geração Z.","100_novos_problemas_sociedade_aprofundados.csv","6","30","5","25","6","30","5","20","6","24","6","24","6","24","6","24","6","18","10","30","8","40","10","50","6","24","6","18","7","28","6","18","6","18","4","12","5","10","4","8","6","30","5","25","10","40","7","28","7","28","6","30","5","25","4","16","6","24","5","15","5","15","6","18","6","18","5","25","6","30","6","24","5","15","6","18","5","15","5","15","7","28","6","24","5","20","5","15","8","24","6","12","6","30","6","24","7","28","9","27","249","60.7","226","66.5","151","68.6","161","53.7","142","54.6","123","61.5","109","68.1","1161","1890","61.4"
"9","O Abismo de Crédito para o Empreendedorismo de Maturidade (Silver Startups)","Profissionais que decidem abrir empresas aos 65 anos esbarram em recusas bancárias atreladas à expectativa de vida e modelos de risco focados apenas em jovens.","O ecossistema VC e bancário ignora a demografia com maior acúmulo de experiência de falhas. Oportunidade: Fintechs e fundos de ""Venture Capital Prateado"" com modelos de subscrição baseados em longevidade ativa e seguro-chave estruturado na sucessão empresarial.","100_novos_problemas_fase_3.csv","6","30","5","25","5","25","5","20","6","24","5","20","6","24","5","20","6","18","10","30","8","40","10","50","6","24","5","15","10","40","6","18","6","18","5","15","5","10","6","12","9","45","5","25","9","36","6","24","8","32","6","30","4","20","6","24","6","24","6","18","5","15","6","18","6","18","6","30","5","25","6","24","4","12","8","24","5","15","5","15","7","28","5","20","5","20","6","18","8","24","6","12","5","25","3","12","6","24","7","21","236","57.6","242","71.2","162","73.6","167","55.7","145","55.8","122","61.0","82","51.2","1156","1890","61.2"
"10","Ineficiência do Crédito Baseado no Clima Passado","Bancos continuam emprestando para expansão agrícola em áreas que as projeções climáticas (ZARC) mostram ser inviáveis amanhã.","Há um descompasso temporal: o mercado usa o passado para julgar o risco futuro. O crédito barato incentiva plantios em áreas de risco iminente de seca. Oportunidade: plataformas de Green FinTech que embutem Large Spatial Models de IA para vetar ou baratear crédito com base em previsões climáticas decadais.","100_novos_problemas_sociedade_aprofundados.csv","6","30","5","25","5","25","7","28","6","24","7","28","5","20","6","24","6","18","6","18","9","45","7","35","6","24","5","15","8","32","6","18","6","18","5","15","5","10","6","12","6","30","7","35","6","24","9","36","7","28","6","30","5","25","6","24","6","24","5","15","5","15","6","18","6","18","6","30","6","30","6","24","5","15","8","24","5","15","5","15","7","28","6","24","5","20","5","15","7","21","6","12","6","30","3","12","7","28","9","27","240","58.5","224","65.9","153","69.5","169","56.3","153","58.8","120","60.0","97","60.6","1156","1890","61.2"
