"Ranking","ID","Problema","Pontuação Total","Percentual (%)","A Natureza da Dor e o Comportamento (%)","Tamanho de Mercado e Potencial de Escala (%)","Timing e Why Now (%)","Validação e Execução Lean (%)","Monetização e Viabilidade de Negócio (%)","Defensibilidade e Competição (%)","Riscos Fatais (Red Flags) (%)"
"1","293","Gargalos Perigosos Nas Novas Farmácias De Manipulação Em Escala Digital Perante O Risco Da Mistura Contaminada Nos Transportes Regionais Constantes Dos Remédios Da Era ""Customizada"".","1041.0","55.1","58.5","56.5","55.5","56.0","52.3","50.0","51.9"
"2","281","Geração Massiva de Identidades ""Synthetic-Twins"" No Setor Médico e Financeiro Para Roubo","1016.0","53.8","58.3","52.1","55.5","52.0","50.0","54.0","52.5"
"3","296","Falhas De Monitoramento Nos Repasses Financeiros E Governança Do Ecossistema De Transição Do Terceiro Setor (ONGs Climáticas)","1014.0","53.7","55.9","52.6","54.1","55.3","51.2","54.0","50.0"
"4","280","Conflito Estrutural Nos Contratos Imobiliários Por Condicionamento Do Trabalho Híbrido","1013.0","53.6","53.4","55.6","57.7","52.3","51.2","54.0","50.0"
"5","416","Caos de Compliance na Balcanização Regulatória","1013.0","53.6","54.6","56.2","56.4","51.0","50.0","52.0","54.4"
"6","183","Risco de Colapso Cambial em Caixas Corporativos de Emergentes","1012.0","53.5","55.1","53.2","57.7","50.0","53.8","51.5","53.1"
"7","238","O Perigo Iminente do Mercado Negro Farmacêutico Sintético","1012.0","53.5","52.2","57.1","58.2","51.7","51.2","54.0","50.0"
"8","241","Colapso do Valor de Revenda de Veículos Elétricos","1011.0","53.5","53.9","55.0","57.7","51.0","51.9","50.0","55.0"
"9","411","Morosidade no Licenciamento de Minerais Críticos","1010.0","53.4","51.7","52.1","53.6","55.3","53.5","56.0","53.8"
"10","177","Bloqueio Crítico na Gestão por Fragmentação de ""Cidades Inteligentes""","1008.0","53.3","52.4","55.0","51.8","51.0","53.1","55.5","56.2"
"11","307","Descompasso entre Criptoeconomia e Tributação Inflacionária no Sul Global","1008.0","53.3","50.7","57.4","57.3","51.0","51.2","52.0","55.6"
"12","330","Conflito Sistêmico #31: A Interseção Geopolítica Brasileira x Saúde Mental da Geração Z","1006.0","53.2","54.9","52.1","60.0","50.0","51.9","52.0","51.9"
"13","337","Conflito Sistêmico #38: A Interseção Geopolítica Brasileira x Saúde Mental da Geração Z","1006.0","53.2","54.9","52.1","60.0","50.0","51.9","52.0","51.9"
"14","344","Conflito Sistêmico #45: A Interseção Geopolítica Brasileira x Saúde Mental da Geração Z","1006.0","53.2","54.9","52.1","60.0","50.0","51.9","52.0","51.9"
"15","351","Conflito Sistêmico #52: A Interseção Geopolítica Brasileira x Saúde Mental da Geração Z","1006.0","53.2","54.9","52.1","60.0","50.0","51.9","52.0","51.9"
"16","358","Conflito Sistêmico #59: A Interseção Geopolítica Brasileira x Saúde Mental da Geração Z","1006.0","53.2","54.9","52.1","60.0","50.0","51.9","52.0","51.9"
"17","365","Conflito Sistêmico #66: A Interseção Geopolítica Brasileira x Saúde Mental da Geração Z","1006.0","53.2","54.9","52.1","60.0","50.0","51.9","52.0","51.9"
"18","372","Conflito Sistêmico #73: A Interseção Geopolítica Brasileira x Saúde Mental da Geração Z","1006.0","53.2","54.9","52.1","60.0","50.0","51.9","52.0","51.9"
"19","379","Conflito Sistêmico #80: A Interseção Geopolítica Brasileira x Saúde Mental da Geração Z","1006.0","53.2","54.9","52.1","60.0","50.0","51.9","52.0","51.9"
"20","386","Conflito Sistêmico #87: A Interseção Geopolítica Brasileira x Saúde Mental da Geração Z","1006.0","53.2","54.9","52.1","60.0","50.0","51.9","52.0","51.9"
"21","393","Conflito Sistêmico #94: A Interseção Geopolítica Brasileira x Saúde Mental da Geração Z","1006.0","53.2","54.9","52.1","60.0","50.0","51.9","52.0","51.9"
"22","462","Epidemia de Ansiedade Induzida por Telas e Vidas Virtuais","1006.0","53.2","52.9","56.2","53.6","51.7","51.9","52.0","53.8"
"23","317","Cegueira Estratégica na Coleta de Dados Geológicos do Fundo Oceânico Sul-Atlântico","1005.0","53.2","53.7","54.1","55.5","51.0","50.0","54.0","55.0"
"24","446","Gargalos Burocráticos para a Empresa de Uma Pessoa Só","1004.0","53.1","54.9","53.8","55.9","50.0","51.9","52.0","52.5"
"25","15","Complexidade regulatória para empresas em múltiplos blocos","1003.0","53.1","54.6","51.5","56.4","51.0","51.9","52.0","55.0"
"26","311","Vácuo de Proteção no Descarte de Dispositivos Médicos Injetáveis Domésticos","1003.0","53.1","53.2","54.7","57.7","50.0","50.0","52.0","55.0"
"27","331","Conflito Sistêmico #32: A Interseção Mudanças Climáticas x Fuga de Cérebros e Talentos","1002.0","53.0","55.9","52.1","57.7","50.0","51.9","52.0","50.0"
"28","332","Conflito Sistêmico #33: A Interseção Deep Tech (Hardware) x Distorção Sociocultural de Algoritmos","1002.0","53.0","54.9","53.2","57.7","50.0","51.9","52.0","50.0"
"29","338","Conflito Sistêmico #39: A Interseção Mudanças Climáticas x Fuga de Cérebros e Talentos","1002.0","53.0","55.9","52.1","57.7","50.0","51.9","52.0","50.0"
